city,city_subunit,lat,lng,pages_limit,place_search_radius
Berlin,Hermsdorf,52.61424470000001,13.3055157,2,3000
Berlin,Waidmannslust,52.6095755,13.3226008,2,3000
Berlin,Lübars,52.6165127,13.3570253,2,3000
Berlin,Wittenau,52.5954998,13.333013099999999,2,3000
Berlin,Märkisches Viertel,52.600229500000005,13.3567669,2,3000
Berlin,Borsigwalde,52.5847968,13.307127300000001,2,3000
Frankfurt am Main,,50.1109221,8.6821267,5,20000
Frankfurt am Main,Innenstadt I,50.1106593,8.675272099999999,2,2000
Frankfurt am Main,Innenstadt II,50.1249977,8.6388356,2,2000
Frankfurt am Main,Innenstadt III,50.131237899999995,8.6937884,2,2000
Frankfurt am Main,Bornheim,50.130917700000005,8.7088466,2,2000
Frankfurt am Main,Ostend,50.11154620000001,8.705952400000001,2,2000
